"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
25;152;20;0;0;0;863;927;65;4.18965474202643;6;0.1;1;36;216;0.01;0.001;0.6
25;152;21;0;0;0;929;929;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;22;0;0;0;941;941;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;23;0;0;0;943;945;3;1.38629436111989;6;0.1;1;36;216;0.01;0.001;0.6
25;152;24;0;0;0;957;957;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;25;0;0;0;959;959;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;26;0;0;0;961;961;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;27;0;0;0;963;981;19;2.99573227355399;6;0.1;1;36;216;0.01;0.001;0.6
25;152;28;0;0;0;989;989;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;29;0;0;0;991;991;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;30;0;0;0;993;993;1;0.693147180559945;6;0.1;1;36;216;0.01;0.001;0.6
25;152;31;0;0;0;995;997;3;1.38629436111989;6;0.1;1;36;216;0.01;0.001;0.6
25;152;32;0;0;0;999;1000;2;1.09861228866811;6;0.1;1;36;216;0.01;0.001;0.6
26;152;1;1;1;0;1;17;17;2.89037175789616;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;2;0;1;0;19;79;61;4.12713438504509;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;3;0;0;0;81;83;3;1.38629436111989;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;4;0;0;0;87;105;19;2.99573227355399;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;5;0;0;0;107;107;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;6;0;0;0;109;327;219;5.39362754635236;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;7;0;0;0;329;425;97;4.58496747867057;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;8;0;0;0;427;663;237;5.47227067367148;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;9;0;0;0;665;697;33;3.52636052461616;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;10;0;0;0;773;773;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;11;0;0;0;775;775;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;12;0;0;0;779;779;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;13;0;0;0;781;781;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;14;0;0;0;783;783;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;15;0;0;0;881;881;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;152;16;0;0;0;903;903;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
