"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
22;2;215;268;54;18;23;6;2;0.1;0;0;1;1
22;2;215;268;54;18;23;6;2;0.1;0.5;0;1;0.5
22;2;215;268;54;18;23;6;2;0.1;1;0;1;0
23;1;1;713;713;1;60;60;2;0.1;0;0;1;1
23;1;1;713;713;1;60;60;2;0.1;0.5;0;1;0.5
23;1;1;713;713;1;60;60;2;0.1;1;0;1;0
23;1;715;1000;286;60;84;25;2;0.1;0;0;0;1
23;1;715;1000;286;60;84;25;2;0.1;0.5;0;0;0.5
23;1;715;1000;286;60;84;25;2;0.1;1;0;0;0
24;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
24;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
24;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
25;1;1;706;706;1;59;59;2;0.1;0;0;1;1
25;1;1;706;706;1;59;59;2;0.1;0.5;0;1;0.5
25;1;1;706;706;1;59;59;2;0.1;1;0;1;0
25;1;905;1000;96;76;84;9;2;0.1;0;0;0;1
25;1;905;1000;96;76;84;9;2;0.1;0.5;0;0;0.5
25;1;905;1000;96;76;84;9;2;0.1;1;0;0;0
25;2;708;903;196;59;76;18;2;0.1;0;0;1;1
25;2;708;903;196;59;76;18;2;0.1;0.5;0;1;0.5
25;2;708;903;196;59;76;18;2;0.1;1;0;1;0
26;1;1;200;200;1;17;17;2;0.1;0;0;1;1
26;1;1;200;200;1;17;17;2;0.1;0.5;0;1;0.5
26;1;1;200;200;1;17;17;2;0.1;1;0;1;0
26;1;524;1000;477;44;84;41;2;0.1;0;0;0;1
26;1;524;1000;477;44;84;41;2;0.1;0.5;0;0;0.5
26;1;524;1000;477;44;84;41;2;0.1;1;0;0;0
26;2;202;522;321;17;44;28;2;0.1;0;0;1;1
26;2;202;522;321;17;44;28;2;0.1;0.5;0;1;0.5
26;2;202;522;321;17;44;28;2;0.1;1;0;1;0
27;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
27;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
27;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
28;1;1;269;269;1;23;23;2;0.1;0;0;1;1
28;1;1;269;269;1;23;23;2;0.1;0.5;0;1;0.5
28;1;1;269;269;1;23;23;2;0.1;1;0;1;0
28;1;743;1000;258;62;84;23;2;0.1;0;0;0;1
28;1;743;1000;258;62;84;23;2;0.1;0.5;0;0;0.5
28;1;743;1000;258;62;84;23;2;0.1;1;0;0;0
28;2;271;741;471;23;62;40;2;0.1;0;0;1;1
28;2;271;741;471;23;62;40;2;0.1;0.5;0;1;0.5
28;2;271;741;471;23;62;40;2;0.1;1;0;1;0
29;1;1;683;683;1;57;57;2;0.1;0;0;1;1
29;1;1;683;683;1;57;57;2;0.1;0.5;0;1;0.5
29;1;1;683;683;1;57;57;2;0.1;1;0;1;0
29;1;911;1000;90;76;84;9;2;0.1;0;0;0;1
29;1;911;1000;90;76;84;9;2;0.1;0.5;0;0;0.5
29;1;911;1000;90;76;84;9;2;0.1;1;0;0;0
29;2;685;909;225;58;76;19;2;0.1;0;0;1;1
29;2;685;909;225;58;76;19;2;0.1;0.5;0;1;0.5
29;2;685;909;225;58;76;19;2;0.1;1;0;1;0
30;1;1;356;356;1;30;30;2;0.1;0;0;1;1
30;1;1;356;356;1;30;30;2;0.1;0.5;0;1;0.5
30;1;1;356;356;1;30;30;2;0.1;1;0;1;0
30;1;855;1000;146;72;84;13;2;0.1;0;0;0;1
30;1;855;1000;146;72;84;13;2;0.1;0.5;0;0;0.5
30;1;855;1000;146;72;84;13;2;0.1;1;0;0;0
30;2;358;372;15;30;31;2;2;0.1;0;0;1;1
30;2;358;372;15;30;31;2;2;0.1;0.5;0;1;0.5
30;2;358;372;15;30;31;2;2;0.1;1;0;1;0
30;3;374;466;93;32;39;8;2;0.1;0;0;1;1
30;3;374;466;93;32;39;8;2;0.1;0.5;0;1;0.5
30;3;374;466;93;32;39;8;2;0.1;1;0;1;0
30;4;468;729;262;39;61;23;2;0.1;0;0;1;1
30;4;468;729;262;39;61;23;2;0.1;0.5;0;1;0.5
30;4;468;729;262;39;61;23;2;0.1;1;0;1;0
30;5;731;788;58;61;66;6;2;0.1;0;0;1;1
30;5;731;788;58;61;66;6;2;0.1;0.5;0;1;0.5
30;5;731;788;58;61;66;6;2;0.1;1;0;1;0
30;6;790;853;64;66;72;7;2;0.1;0;0;1;1
30;6;790;853;64;66;72;7;2;0.1;0.5;0;1;0.5
30;6;790;853;64;66;72;7;2;0.1;1;0;1;0
31;1;1;131;131;1;11;11;2;0.1;0;0;1;1
31;1;1;131;131;1;11;11;2;0.1;0.5;0;1;0.5
31;1;1;131;131;1;11;11;2;0.1;1;0;1;0
31;1;619;1000;382;52;84;33;2;0.1;0;0;0;1
31;1;619;1000;382;52;84;33;2;0.1;0.5;0;0;0.5
31;1;619;1000;382;52;84;33;2;0.1;1;0;0;0
