"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
23;2;13;144;132;2;12;11;2;0.15;0.5;0;1
23;3;146;398;253;13;34;22;2;0.15;0.5;0;1
23;4;400;460;61;34;39;6;2;0.15;0.5;0;1
23;5;462;896;435;39;75;37;2;0.15;0.5;0;1
25;1;1;173;173;1;15;15;2;0.15;0.5;0;1
25;2;175;757;583;15;64;50;2;0.15;0.5;0;1
26;1;1;369;369;1;31;31;2;0.15;0.5;0;1
26;2;371;380;10;31;32;2;2;0.15;0.5;0;1
26;3;382;789;408;32;66;35;2;0.15;0.5;0;1
27;1;1;224;224;1;19;19;2;0.15;0.5;0;1
27;2;226;336;111;19;28;10;2;0.15;0.5;0;1
28;1;1;78;78;1;7;7;2;0.15;0.5;0;1
28;2;80;638;559;7;54;48;2;0.15;0.5;0;1
28;3;640;663;24;54;56;3;2;0.15;0.5;0;1
28;4;665;740;76;56;62;7;2;0.15;0.5;0;1
28;5;742;753;12;62;63;2;2;0.15;0.5;0;1
28;6;755;965;211;63;81;19;2;0.15;0.5;0;1
28;7;967;979;13;81;82;2;2;0.15;0.5;0;1
29;1;1;384;384;1;32;32;2;0.15;0.5;0;1
29;2;386;487;102;33;41;9;2;0.15;0.5;0;1
29;3;489;729;241;41;61;21;2;0.15;0.5;0;1
29;4;731;875;145;61;73;13;2;0.15;0.5;0;1
30;1;1;72;72;1;6;6;2;0.15;0.5;0;1
30;2;74;173;100;7;15;9;2;0.15;0.5;0;1
30;3;175;344;170;15;29;15;2;0.15;0.5;0;1
30;4;346;406;61;29;34;6;2;0.15;0.5;0;1
30;5;408;752;345;34;63;30;2;0.15;0.5;0;1
31;1;1;35;35;1;3;3;2;0.15;0.5;0;1
31;2;37;144;108;4;12;9;2;0.15;0.5;0;1
31;3;146;314;169;13;27;15;2;0.15;0.5;0;1
31;4;316;458;143;27;39;13;2;0.15;0.5;0;1
31;5;460;522;63;39;44;6;2;0.15;0.5;0;1
31;6;524;576;53;44;48;5;2;0.15;0.5;0;1
31;7;578;585;8;49;49;1;2;0.15;0.5;0;1
31;8;587;842;256;49;71;23;2;0.15;0.5;0;1
31;9;844;868;25;71;73;3;2;0.15;0.5;0;1
32;1;1;912;912;1;76;76;2;0.15;0.5;0;1
33;1;1;4;4;1;1;1;2;0.15;0.5;0;1
33;2;6;392;387;1;33;33;2;0.15;0.5;0;1
33;3;394;717;324;33;60;28;2;0.15;0.5;0;1
33;4;719;727;9;60;61;2;2;0.15;0.5;0;1
33;5;729;914;186;61;77;17;2;0.15;0.5;0;1
33;6;916;970;55;77;81;5;2;0.15;0.5;0;1
34;1;1;220;220;1;19;19;2;0.15;0.5;0;1
34;2;222;673;452;19;57;39;2;0.15;0.5;0;1
34;3;675;919;245;57;77;21;2;0.15;0.5;0;1
35;1;1;91;91;1;8;8;2;0.15;0.5;0;1
35;2;93;916;824;8;77;70;2;0.15;0.5;0;1
36;1;1;29;29;1;3;3;2;0.15;0.5;0;1
36;2;31;477;447;3;40;38;2;0.15;0.5;0;1
36;3;479;646;168;40;54;15;2;0.15;0.5;0;1
36;4;648;696;49;54;58;5;2;0.15;0.5;0;1
36;5;698;806;109;59;68;10;2;0.15;0.5;0;1
37;1;1;391;391;1;33;33;2;0.15;0.5;0;1
37;2;393;566;174;33;48;16;2;0.15;0.5;0;1
37;3;568;612;45;48;51;4;2;0.15;0.5;0;1
37;4;614;783;170;52;66;15;2;0.15;0.5;0;1
37;5;785;996;212;66;83;18;2;0.15;0.5;0;1
39;1;1;105;105;1;9;9;2;0.15;0.5;0;1
40;1;1;218;218;1;19;19;2;0.15;0.5;0;1
40;2;220;257;38;19;22;4;2;0.15;0.5;0;1
40;3;259;614;356;22;52;31;2;0.15;0.5;0;1
40;4;616;839;224;52;70;19;2;0.15;0.5;0;1
40;5;841;863;23;71;72;2;2;0.15;0.5;0;1
40;6;865;905;41;73;76;4;2;0.15;0.5;0;1
41;1;1;166;166;1;14;14;2;0.15;0.5;0;1
42;1;1;73;73;1;7;7;2;0.15;0.5;0;1
42;2;75;214;140;7;18;12;2;0.15;0.5;0;1
42;3;216;388;173;18;33;16;2;0.15;0.5;0;1
42;4;390;607;218;33;51;19;2;0.15;0.5;0;1
42;5;609;867;259;51;73;23;2;0.15;0.5;0;1
44;1;1;27;27;1;3;3;2;0.15;0.5;0;1
44;2;29;219;191;3;19;17;2;0.15;0.5;0;1
44;3;221;242;22;19;21;3;2;0.15;0.5;0;1
45;1;1;403;403;1;34;34;2;0.15;0.5;0;1
45;2;405;663;259;34;56;23;2;0.15;0.5;0;1
45;3;665;768;104;56;64;9;2;0.15;0.5;0;1
45;4;770;894;125;65;75;11;2;0.15;0.5;0;1
46;1;1;811;811;1;68;68;2;0.15;0.5;0;1
46;2;813;921;109;68;77;10;2;0.15;0.5;0;1
47;1;1;950;950;1;80;80;2;0.15;0.5;0;1
48;1;1;36;36;1;3;3;2;0.15;0.5;0;1
48;2;38;289;252;4;25;22;2;0.15;0.5;0;1
49;1;1;77;77;1;7;7;2;0.15;0.5;0;1
49;2;79;408;330;7;34;28;2;0.15;0.5;0;1
49;3;410;811;402;35;68;34;2;0.15;0.5;0;1
49;4;813;841;29;68;71;4;2;0.15;0.5;0;1
50;1;1;473;473;1;40;40;2;0.15;0.5;0;1
50;2;475;546;72;40;46;7;2;0.15;0.5;0;1
50;3;548;937;390;46;79;34;2;0.15;0.5;0;1
51;1;1;47;47;1;4;4;2;0.15;0.5;0;1
51;2;49;100;52;5;9;5;2;0.15;0.5;0;1
51;3;102;272;171;9;23;15;2;0.15;0.5;0;1
51;4;274;734;461;23;62;40;2;0.15;0.5;0;1
51;5;736;870;135;62;73;12;2;0.15;0.5;0;1
52;1;1;273;273;1;23;23;2;0.15;0.5;0;1
52;2;275;362;88;23;31;9;2;0.15;0.5;0;1
52;3;364;901;538;31;76;46;2;0.15;0.5;0;1
53;1;1;366;366;1;31;31;2;0.15;0.5;0;1
53;2;368;861;494;31;72;42;2;0.15;0.5;0;1
53;3;863;879;17;72;74;3;2;0.15;0.5;0;1
54;1;1;29;29;1;3;3;2;0.15;0.5;0;1
54;2;31;39;9;3;4;2;2;0.15;0.5;0;1
54;3;41;109;69;4;10;7;2;0.15;0.5;0;1
54;4;111;873;763;10;73;64;2;0.15;0.5;0;1
55;1;1;284;284;1;24;24;2;0.15;0.5;0;1
55;2;286;728;443;24;61;38;2;0.15;0.5;0;1
55;3;730;795;66;61;67;7;2;0.15;0.5;0;1
56;1;1;727;727;1;61;61;2;0.15;0.5;0;1
57;1;1;49;49;1;5;5;2;0.15;0.5;0;1
57;2;51;100;50;5;9;5;2;0.15;0.5;0;1
57;3;102;669;568;9;56;48;2;0.15;0.5;0;1
57;4;671;881;211;56;74;19;2;0.15;0.5;0;1
57;5;883;901;19;74;76;3;2;0.15;0.5;0;1
58;1;1;294;294;1;25;25;2;0.15;0.5;0;1
58;2;296;564;269;25;47;23;2;0.15;0.5;0;1
59;1;1;198;198;1;17;17;2;0.15;0.5;0;1
59;2;200;201;2;17;17;1;2;0.15;0.5;0;1
59;3;203;660;458;17;55;39;2;0.15;0.5;0;1
59;4;662;690;29;56;58;3;2;0.15;0.5;0;1
60;1;1;56;56;1;5;5;2;0.15;0.5;0;1
60;2;58;102;45;5;9;5;2;0.15;0.5;0;1
60;3;104;136;33;9;12;4;2;0.15;0.5;0;1
61;1;1;423;423;1;36;36;2;0.15;0.5;0;1
61;2;425;809;385;36;68;33;2;0.15;0.5;0;1
62;1;1;111;111;1;10;10;2;0.15;0.5;0;1
62;2;113;429;317;10;36;27;2;0.15;0.5;0;1
62;3;431;962;532;36;81;46;2;0.15;0.5;0;1
63;1;1;36;36;1;3;3;2;0.15;0.5;0;1
63;2;38;97;60;4;9;6;2;0.15;0.5;0;1
63;3;99;144;46;9;12;4;2;0.15;0.5;0;1
64;1;1;138;138;1;12;12;2;0.15;0.5;0;1
64;2;140;329;190;12;28;17;2;0.15;0.5;0;1
64;3;331;336;6;28;28;1;2;0.15;0.5;0;1
64;4;338;481;144;29;41;13;2;0.15;0.5;0;1
64;5;483;874;392;41;73;33;2;0.15;0.5;0;1
64;6;876;899;24;73;75;3;2;0.15;0.5;0;1
65;1;1;174;174;1;15;15;2;0.15;0.5;0;1
65;2;176;301;126;15;26;12;2;0.15;0.5;0;1
65;3;303;691;389;26;58;33;2;0.15;0.5;0;1
65;4;693;894;202;58;75;18;2;0.15;0.5;0;1
66;1;1;255;255;1;22;22;2;0.15;0.5;0;1
66;2;257;323;67;22;27;6;2;0.15;0.5;0;1
66;3;325;723;399;28;61;34;2;0.15;0.5;0;1
