"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
3;1;1;286;286;1;24;24;2;0.15;1;1;1
3;2;288;309;22;24;26;3;2;0.15;1;1;1
3;3;311;386;76;26;33;8;2;0.15;1;1;1
3;4;388;537;150;33;45;13;2;0.15;1;1;1
3;5;539;713;175;45;60;16;2;0.15;1;1;1
3;6;715;838;124;60;70;11;2;0.15;1;1;1
4;1;1;614;614;1;52;52;2;0.15;1;1;1
4;2;616;746;131;52;63;12;2;0.15;1;1;1
4;3;748;789;42;63;66;4;2;0.15;1;1;1
4;4;791;802;12;66;67;2;2;0.15;1;1;1
4;5;804;849;46;67;71;5;2;0.15;1;1;1
4;6;851;885;35;71;74;4;2;0.15;1;1;1
4;7;887;989;103;74;83;10;2;0.15;1;1;1
5;1;1;277;277;1;24;24;2;0.15;1;1;1
5;2;279;459;181;24;39;16;2;0.15;1;1;1
5;3;461;463;3;39;39;1;2;0.15;1;1;1
5;4;465;478;14;39;40;2;2;0.15;1;1;1
6;1;1;84;84;1;7;7;2;0.15;1;1;1
6;2;86;143;58;8;12;5;2;0.15;1;1;1
6;3;145;221;77;13;19;7;2;0.15;1;1;1
6;4;223;460;238;19;39;21;2;0.15;1;1;1
6;5;462;466;5;39;39;1;2;0.15;1;1;1
6;6;468;501;34;39;42;4;2;0.15;1;1;1
6;7;503;538;36;42;45;4;2;0.15;1;1;1
6;8;540;543;4;45;46;2;2;0.15;1;1;1
6;9;545;567;23;46;48;3;2;0.15;1;1;1
6;10;569;698;130;48;59;12;2;0.15;1;1;1
6;11;700;733;34;59;62;4;2;0.15;1;1;1
6;12;735;864;130;62;72;11;2;0.15;1;1;1
6;13;866;946;81;73;79;7;2;0.15;1;1;1
7;1;1;477;477;1;40;40;2;0.15;1;1;1
7;2;479;566;88;40;48;9;2;0.15;1;1;1
7;3;568;604;37;48;51;4;2;0.15;1;1;1
7;4;606;606;1;51;51;1;2;0.15;1;1;1
7;5;608;947;340;51;79;29;2;0.15;1;1;1
